"scientific_name","status","migration","tp","tl","habitat1","colony","ps","min_dist","colour_elab","colour_div","ED_score","logMass","logRange","Order","source"
"Accipiter_chilensis","LC","Full Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.017493946,0,21.95429423,48,8.013433,2.56584781867352,7.15562675683182,"ACCIPITRIFORMES",0
"Accipiter_chionogaster","LC","Full Migrant","Diurnal","Carnivore","Shrubland","Not colonial",0.012257664,0,25.80880258,58.5,7.895811,2.13265985032772,7.2141965474552,"ACCIPITRIFORMES",6
"Accipiter_cirrocephalus","LC","Not a Migrant","Diurnal","Carnivore","Open vegetation","Not colonial",0.275074882,0,24.01338306,53,6.990258,2.23552844690755,6.7394651167912,"ACCIPITRIFORMES",0
"Accipiter_collaris","NT","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.256934607,12.59466383,23.46769721,54.5,8.024357,2.48216993724863,5.40358929999076,"ACCIPITRIFORMES",0
"Accipiter_cooperii","LC","Full Migrant","Diurnal","Carnivore","Forest","Not colonial",0.036298195,0,23.65998872,61,7.421946,2.64246452024212,6.92385732633801,"ACCIPITRIFORMES",5
"Accipiter_erythrauchen","NT","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-1.04490994,243.8072118,28.13900901,50.33333333,8.056856,2.19312459835446,4.68259918604439,"ACCIPITRIFORMES",0
"Accipiter_erythronemius","LC","Full Migrant","Diurnal","Carnivore","Shrubland","Not colonial",0.012257664,0,25.80880258,58.5,5.897535,2.09691001300806,7.2141965474552,"ACCIPITRIFORMES",6
"Accipiter_erythropus","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.059633834,0,26.72368747,47,7.985206,2.06201759885711,6.59159915496464,"ACCIPITRIFORMES",2
"Accipiter_fasciatus","LC","Not a Migrant","Diurnal","Carnivore","Artificial","Not colonial",0.122032875,0,22.30754929,53.83333333,8.531209,2.58006922272504,6.91276404741764,"ACCIPITRIFORMES",3
"Accipiter_francesiae","LC","Not a Migrant","Diurnal","Carnivore","Artificial","Not colonial",-0.192672215,607.498981,24.9187977,43,7.955105,2.14144977340047,5.71555911535116,"ACCIPITRIFORMES",1
"Accipiter_gentilis","LC","Full Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.000983199,0,27.09803927,38.8,9.50842,2.95504601472293,7.50206055332183,"ACCIPITRIFORMES",11
"Accipiter_griseiceps","LC","Not a Migrant","Diurnal","Carnivore","Open vegetation","Not colonial",-1.04490994,8.681526474,26.65347052,38,8.063805,2.40739090447073,5.14800055861254,"ACCIPITRIFORMES",0
"Accipiter_gularis","LC","Full Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.023199401,0,24.86913205,55.5,5.295913,2.08635983067475,6.67975399043305,"ACCIPITRIFORMES",2
"Accipiter_gundlachi","EN","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",0.277450993,50.55123181,20.15144194,49,7.757599,2.82930377283102,4.10183000926434,"ACCIPITRIFORMES",3
"Accipiter_haplochrous","NT","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",1.016704023,1426.318518,26.54447981,42,8.210317,2.31069331234336,4.21456832044552,"ACCIPITRIFORMES",0
"Accipiter_henicogrammus","NT","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-1.04490994,243.8072118,22.46886741,47.5,8.058097,2.51278676523083,4.35758907050774,"ACCIPITRIFORMES",0
"Accipiter_henstii","NT","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.579956805,1058.841989,17.5619751,35,8.10134,3.02118929906994,5.63812751681071,"ACCIPITRIFORMES",1
"Accipiter_imitator","VU","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.065684535,830.0489007,27.82459092,49,7.022134,2.34830486304816,4.00217488256678,"ACCIPITRIFORMES",0
"Accipiter_luteoschistaceus","VU","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.459885342,400.5508162,25.2598136159565,50.0200142704917,7.916697,2.33041377334919,4.23712623769664,"ACCIPITRIFORMES",0
"Accipiter_madagascariensis","NT","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.579956805,1058.841989,20.65286746,43,7.908732,2.26007138798507,5.6781489706418,"ACCIPITRIFORMES",2
"Accipiter_melanochlamys","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.486443207,56.76778778,30.34167472,54.5,7.985115,2.42324587393681,5.06239360769767,"ACCIPITRIFORMES",0
"Accipiter_melanoleucus","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.027349087,0,34.60927702,40.5,7.85617,2.84447717574568,6.9574679307286,"ACCIPITRIFORMES",2
"Accipiter_meyerianus","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.312648158,45.19055817,30.7729913,37.33333333,7.87275,2.91115760873998,5.42998547588165,"ACCIPITRIFORMES",0
"Accipiter_minullus","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.03069326,0,22.15648165,62,8.278558,1.94620655384278,6.8321529614247,"ACCIPITRIFORMES",0
"Accipiter_nanus","NT","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-1.04490994,166.0372463,28.86463477,53,7.767425,2.53219768545285,5.0432710691717,"ACCIPITRIFORMES",0
"Accipiter_nisus","LC","Full Migrant","Diurnal","Carnivore","Artificial","Not colonial",-0.005004509,0,24.0882052,47.5,6.716942,2.37566361396089,7.37285970004709,"ACCIPITRIFORMES",7
"Accipiter_novaehollandiae","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",1.109268882,0,32.19817879,36.5,7.005232,2.57432070091531,6.25697085582373,"ACCIPITRIFORMES",3
"Accipiter_ovampensis","LC","Nomadic","Diurnal","Carnivore","Open vegetation","Not colonial",-0.017637405,0,23.99192645,56,7.795984,2.29003461136252,6.86303135070475,"ACCIPITRIFORMES",1
"Accipiter_poliocephalus","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.493217716,0,25.14468826,47,8.278395,2.33243845991561,5.82704632761624,"ACCIPITRIFORMES",0
"Accipiter_poliogaster","NT","Full Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.029857485,0,25.14533217,38,7.909388,2.6480271240575,6.85754167795628,"ACCIPITRIFORMES",1
"Accipiter_princeps","VU","Not a Migrant","Diurnal","Omnivore","Forest","Not colonial",-0.919770684,432.3301018,25.2140117840089,36.4658159225122,8.049638,2.63240760025748,4.06256757907571,"ACCIPITRIFORMES",0
"Accipiter_rhodogaster","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-1.04490994,3.200463386,27.48979023,53,7.903667,2.27531135454181,5.16446244966534,"ACCIPITRIFORMES",0
"Accipiter_rufitorques","LC","Not a Migrant","Diurnal","Carnivore","Artificial","Not colonial",0.543275817,1928.466571,19.04802679,55,8.148183,2.32014628611105,4.24504656483145,"ACCIPITRIFORMES",0
"Accipiter_rufiventris","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.054944511,0,25.78611704,57,5.69234,2.29666519026153,5.87855526108651,"ACCIPITRIFORMES",3
"Accipiter_soloensis","LC","Full Migrant","Diurnal","Carnivore","Shrubland","Not colonial",-0.019898314,0,25.54762191,46,10.019948,2.21879799811174,6.37562348714076,"ACCIPITRIFORMES",2
"Accipiter_striatus","LC","Full Migrant","Diurnal","Carnivore","Shrubland","Not colonial",0.012257664,0,25.80880258,58.5,6.096948,2.13265985032772,7.2141965474552,"ACCIPITRIFORMES",6
"Accipiter_superciliosus","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.023090745,0,22.1303136,51,9.953157,2.01682449366749,6.93248249188411,"ACCIPITRIFORMES",1
"Accipiter_tachiro","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.031809607,0,21.675689435,42.666666665,9.836466,2.46463855909503,6.71383841072812,"ACCIPITRIFORMES",4
"Accipiter_toussenelii","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.055888504,0,24.40001478,47.33333333,8.126973,2.37106786227174,6.66254576573169,"ACCIPITRIFORMES",1
"Accipiter_trinotatus","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-1.04490994,3.253750909,29.00104565,44.5,8.152813,2.16435285578444,5.08004486318397,"ACCIPITRIFORMES",0
"Accipiter_trivirgatus","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.04501109,0,20.00434269,44.75,10.036484,2.44090908206522,6.52716986466508,"ACCIPITRIFORMES",2
"Accipiter_ventralis","LC","Full Migrant","Diurnal","Carnivore","Shrubland","Not colonial",0.012257664,0,25.80880258,58.5,7.612125,2.36735592102602,7.2141965474552,"ACCIPITRIFORMES",6
"Accipiter_virgatus","LC","Altitudinal Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.036999811,0,24.03377699,48.5,5.297049,2.06557971472845,6.64325459561861,"ACCIPITRIFORMES",2
"Aceros_cassidix","VU","Not a Migrant","Diurnal","Herbivore","Forest","Not colonial",-1.04490994,0,34.00729781,76,11.742531,3.37291200297011,5.21623384715588,"BUCEROTIFORMES",3
"Aceros_comatus","NT","Not a Migrant","Diurnal","Omnivore","Forest","Not colonial",-0.149151391,0,35.320032005,27,20.345031,3.16731733474818,6.07154639600636,"BUCEROTIFORMES",3
"Aceros_corrugatus","NT","Not a Migrant","Diurnal","Herbivore","Forest","Not colonial",-0.157181568,0,34.62933702,73,11.785396,3.20139712432045,5.95064094016836,"BUCEROTIFORMES",4
"Aceros_everetti","VU","Not a Migrant","Diurnal","Herbivore","Forest","Not colonial",-1.04490994,358.2971966,29.92401765,68,11.100507,2.889110257719,4.0295677003921,"BUCEROTIFORMES",1
"Aceros_leucocephalus","NT","Not a Migrant","Diurnal","Herbivore","Forest","Not colonial",-1.261632066,0,30.55425204,46,11.123124,3.03582982525283,4.95424092792528,"BUCEROTIFORMES",1
"Aceros_narcondami","EN","Not a Migrant","Diurnal","Herbivore","Forest","Not colonial",-1.078051578,391.304706,29.93336206,40,11.043736,2.84509804001426,0.813621373564306,"BUCEROTIFORMES",0
"Aceros_nipalensis","VU","Not a Migrant","Diurnal","Herbivore","Forest","Not colonial",-0.06162846,36.01917954,31.10591624,69,16.543158,3.37748838337613,5.45389464950601,"BUCEROTIFORMES",6
"Aceros_plicatus","LC","Not a Migrant","Diurnal","Herbivore","Forest","Not colonial",-0.18834393,0,31.63072375,48,8.60843,3.23210629261466,5.87742455696488,"BUCEROTIFORMES",1
"Aceros_subruficollis","VU","Not a Migrant","Diurnal","Herbivore","Forest","Not colonial",-0.344881584,111.7470238,31.42054198,49,11.076715,3.31005573775089,4.85894665592051,"BUCEROTIFORMES",2
"Aceros_undulatus","LC","Not a Migrant","Diurnal","Herbivore","Forest","Not colonial",-0.061184836,0,32.420252675,52.5,8.444463,3.34879146756058,6.50851674012868,"BUCEROTIFORMES",5
