"scientific_name","TipLabel","English","Order","status","migration","gen_length","range","tp","tl","habitat1","colony","ps","min_dist","colour_elab","colour_div","ED_score","mean_mass","logMass","logRange","citations","source"
"Acanthiza lineata","Acanthiza_lineata","Striated Thornbill","PASSERIFORMES","LC","Not a Migrant",5.7,1043817.3736799,"Diurnal","Carnivore","Forest","Not colonial",1.109268882,0,24.4553824,26,11.623807,6.86666666666667,0.836745965649491,6.01862452113653,0,0
"Acanthiza murina","Acanthiza_murina","Papuan Thornbill","PASSERIFORMES","LC","Not a Migrant",5.7,83142.2824413267,"Diurnal","Carnivore","Forest","Not colonial",-0.485922957,52.4022123,24.0188346,28,8.64186,8.4,0.924279286061882,4.91982194268724,0,0
"Acanthiza nana","Acanthiza_nana","Yellow Thornbill","PASSERIFORMES","LC","Not a Migrant",5.7,2021524.43149661,"Diurnal","Carnivore","Forest","Not colonial",1.109268882,0,40.02608937,42,8.645009,6.2,0.792391689498254,6.30567899444538,0,0
"Acanthiza pusilla","Acanthiza_pusilla","Brown Thornbill","PASSERIFORMES","LC","Not a Migrant",5.7,1132087.46734826,"Diurnal","Carnivore","Artificial/Terrestrial","Not colonial",1.109268882,0,24.41168036,34,6.035199,7.7,0.886490725172482,6.05387998261126,1,1
"Acanthiza reguloides","Acanthiza_reguloides","Buff-rumped Thornbill","PASSERIFORMES","LC","Not a Migrant",5.7,1843526.82287568,"Diurnal","Carnivore","Savanna","Not colonial",1.109268882,0,31.24511055,29,6.936969,7.7,0.886490725172482,6.26564946086926,0,0
"Acanthiza robustirostris","Acanthiza_robustirostris","Slaty-backed Thornbill","PASSERIFORMES","LC","Not a Migrant",5.7,2061847.21136638,"Diurnal","Carnivore","Savanna","Not colonial",1.109268882,287.9134241,31.13063179,31,6.228396,6.1,0.785329835010767,6.31425647970648,0,0
"Acanthiza uropygialis","Acanthiza_uropygialis","Chestnut-rumped Thornbill","PASSERIFORMES","LC","Not a Migrant",5.7,4789177.25517343,"Diurnal","Carnivore","Savanna","Not colonial",1.109268882,0,32.47028136,28,8.080169,6.4,0.806179973983887,6.68026091127921,0,0
"Acanthorhynchus superciliosus","Acanthorhynchus_superciliosus","Western Spinebill","PASSERIFORMES","LC","Not a Migrant",5.6,182284.856455853,"Diurnal","Herbivore","Savanna","Not colonial",1.109268882,0,24.1026337,32,16.80393,9.75,0.989004615698537,5.26075059059223,2,2
"Acanthorhynchus tenuirostris","Acanthorhynchus_tenuirostris","Eastern Spinebill","PASSERIFORMES","LC","Not a Migrant",5.6,763558.778559081,"Diurnal","Omnivore","Forest","Not colonial",1.109268882,0,28.50572342,36,16.80393,10.5,1.02118929906994,5.88284247455721,5,2
"Acanthornis magna","Acanthornis_magna","Scrubtit","PASSERIFORMES","LC","Not a Migrant",5.3,44164.2377999406,"Diurnal","Carnivore","Forest","Not colonial",1.109268882,328.577429,23.5206555,25,15.646331,10.2,1.00860017176192,4.64507073964927,6,3
"Accipiter albogularis","Accipiter_albogularis","Pied Goshawk","ACCIPITRIFORMES","LC","Not a Migrant",7.2,37461.2054355878,"Diurnal","Carnivore","Artificial/Terrestrial","Not colonial",0.074439461,830.0489007,29.23922343,43.5,7.93344,250.5,2.39880773020326,4.57358174809531,0,0
"Accipiter badius","Accipiter_badius","Shikra","ACCIPITRIFORMES","LC","Full Migrant",6.7,22396558.8491372,"Diurnal","Carnivore","Forest","Not colonial",-0.011122652,0,22.90443122,26,8.15855,131.5,2.11892575282578,7.35018129567187,9,5
"Accipiter bicolor","Accipiter_bicolor","Bicoloured Hawk","ACCIPITRIFORMES","LC","Full Migrant",7.2,14309575.7116083,"Diurnal","Carnivore","Forest","Not colonial",-0.017493946,0,21.95429423,48,7.369053,301,2.47856649559384,7.15562675683182,0,0
"Accipiter brachyurus","Accipiter_brachyurus","New Britain Sparrowhawk","ACCIPITRIFORMES","VU","Not a Migrant",5,19413.7174138031,"Diurnal","Carnivore","Forest","Not colonial",-0.459885342,404.8167106,NA,NA,8.098795,142,2.15228834438306,4.28810870374081,0,0
"Accipiter brevipes","Accipiter_brevipes","Levant Sparrowhawk","ACCIPITRIFORMES","LC","Full Migrant",7.2,2935672.6239374,"Diurnal","Carnivore","Shrubland","Not colonial",-0.044265293,0,22.340686255,37,8.182978,187.5,2.27300127206374,6.46770762292497,18,7
"Accipiter butleri","Accipiter_butleri","Nicobar Sparrowhawk","ACCIPITRIFORMES","VU","Not a Migrant",7.2,327.836687944085,"Diurnal","Carnivore","Forest","Not colonial",-1.078051578,445.7467797,29.83842262,47,8.060446,NA,NA,2.51565755350565,0,0
"Accipiter castanilius","Accipiter_castanilius","Chestnut-flanked Sparrowhawk","ACCIPITRIFORMES","LC","Not a Migrant",7.2,2096334.29072409,"Diurnal","Carnivore","Forest","Not colonial",-0.188715153,0,24.57971544,58,8.254363,159.25,2.20207944100739,6.32146053835016,0,0
"Accipiter chilensis","Accipiter_chilensis","Chilean Hawk","ACCIPITRIFORMES","LC","Full Migrant",7.2,14309575.7116083,"Diurnal","Carnivore","Forest","Not colonial",-0.017493946,0,21.95429423,48,8.013433,368,2.56584781867352,7.15562675683182,0,0
"Accipiter chionogaster","Accipiter_chionogaster","White-breasted Hawk","ACCIPITRIFORMES","LC","Full Migrant",7.2,16375574.5861327,"Diurnal","Carnivore","Shrubland","Not colonial",0.012257664,0,25.80880258,58.5,7.895811,135.725,2.13265985032772,7.2141965474552,15,6
"Accipiter cirrocephalus","Accipiter_cirrocephalus","Collared Sparrowhawk","ACCIPITRIFORMES","LC","Not a Migrant",7.2,5488644.68188051,"Diurnal","Carnivore","Savanna","Not colonial",0.275074882,0,24.01338306,53,6.990258,172,2.23552844690755,6.7394651167912,0,0
"Accipiter collaris","Accipiter_collaris","Semicollared Hawk","ACCIPITRIFORMES","NT","Not a Migrant",7.2,253273.236426726,"Diurnal","Carnivore","Forest","Not colonial",-0.256934607,12.59466383,23.46769721,54.5,8.024357,NA,NA,5.40358929999076,0,0
"Accipiter cooperii","Accipiter_cooperii","Cooper's Hawk","ACCIPITRIFORMES","LC","Full Migrant",7.2,8391842.53890054,"Diurnal","Carnivore","Forest","Not colonial",0.036298195,0,23.65998872,61,7.421946,439,2.64246452024212,6.92385732633801,15,5
"Accipiter erythrauchen","Accipiter_erythrauchen","Rufous-necked Sparrowhawk","ACCIPITRIFORMES","NT","Not a Migrant",7.2,48150.3209220519,"Diurnal","Carnivore","Forest","Not colonial",-1.04490994,243.8072118,28.13900901,50.33333333,8.056856,156,2.19312459835446,4.68259918604439,0,0
"Accipiter erythronemius","Accipiter_erythronemius","Rufous-thighed Hawk","ACCIPITRIFORMES","LC","Full Migrant",7.2,16375574.5861327,"Diurnal","Carnivore","Shrubland","Not colonial",0.012257664,0,25.80880258,58.5,5.897535,125,2.09691001300806,7.2141965474552,15,6
"Accipiter erythropus","Accipiter_erythropus","Red-thighed Sparrowhawk","ACCIPITRIFORMES","LC","Not a Migrant",7.2,3904803.23965245,"Diurnal","Carnivore","Forest","Not colonial",-0.059633834,0,26.72368747,47,7.985206,115.35,2.06201759885711,6.59159915496464,2,2
"Accipiter fasciatus","Accipiter_fasciatus","Brown Goshawk","ACCIPITRIFORMES","LC","Not a Migrant",7.2,8180202.36253418,"Diurnal","Carnivore","Artificial/Terrestrial","Not colonial",0.122032875,0,22.30754929,53.83333333,8.531209,380.25,2.58006922272504,6.91276404741764,3,3
"Accipiter francesiae","Accipiter_francesiae","Frances's Sparrowhawk","ACCIPITRIFORMES","LC","Not a Migrant",7.2,519468.377757116,"Diurnal","Carnivore","Artificial/Terrestrial","Not colonial",-0.192672215,607.498981,24.9187977,43,7.955105,138.5,2.14144977340047,5.71555911535116,2,1
"Accipiter gentilis","Accipiter_gentilis","Northern Goshawk","ACCIPITRIFORMES","LC","Full Migrant",7,31773170.5046571,"Diurnal","Carnivore","Forest","Not colonial",-0.000983199,0,27.09803927,38.8,9.50842,901.666666666667,2.95504601472293,7.50206055332183,71,11
"Accipiter griseiceps","Accipiter_griseiceps","Sulawesi Goshawk","ACCIPITRIFORMES","LC","Not a Migrant",7.2,140604.93326638,"Diurnal","Carnivore","Savanna","Not colonial",-1.04490994,8.681526474,26.65347052,38,8.063805,255.5,2.40739090447073,5.14800055861254,0,0
"Accipiter gularis","Accipiter_gularis","Japanese Sparrowhawk","ACCIPITRIFORMES","LC","Full Migrant",7.2,4783590.45271811,"Diurnal","Carnivore","Forest","Not colonial",-0.023199401,0,24.86913205,55.5,5.295913,122,2.08635983067475,6.67975399043305,2,2
"Accipiter gundlachi","Accipiter_gundlachi","Gundlach's Hawk","ACCIPITRIFORMES","EN","Not a Migrant",7.2,12642.4140360151,"Diurnal","Carnivore","Forest","Not colonial",0.277450993,50.55123181,20.15144194,49,7.757599,675,2.82930377283102,4.10183000926434,4,3
"Accipiter haplochrous","Accipiter_haplochrous","White-bellied Goshawk","ACCIPITRIFORMES","NT","Not a Migrant",7.2,16389.598717478,"Diurnal","Carnivore","Forest","Not colonial",1.016704023,1426.318518,26.54447981,42,8.210317,204.5,2.31069331234336,4.21456832044552,0,0
"Accipiter henicogrammus","Accipiter_henicogrammus","Moluccan Goshawk","ACCIPITRIFORMES","NT","Not a Migrant",7.2,22781.8543251822,"Diurnal","Carnivore","Forest","Not colonial",-1.04490994,243.8072118,22.46886741,47.5,8.058097,NA,NA,4.35758907050774,0,0
"Accipiter henstii","Accipiter_henstii","Henst's Goshawk","ACCIPITRIFORMES","NT","Not a Migrant",7.2,434637.823059928,"Diurnal","Carnivore","Forest","Not colonial",-0.579956805,1058.841989,17.5619751,35,8.10134,1050,3.02118929906994,5.63812751681071,2,1
"Accipiter imitator","Accipiter_imitator","Imitator Sparrowhawk","ACCIPITRIFORMES","VU","Not a Migrant",7.2,10050.2041242687,"Diurnal","Carnivore","Forest","Not colonial",-0.065684535,830.0489007,27.82459092,49,7.022134,223,2.34830486304816,4.00217488256678,0,0
"Accipiter luteoschistaceus","Accipiter_luteoschistaceus","Slaty-mantled Sparrowhawk","ACCIPITRIFORMES","VU","Not a Migrant",5,17263.3961944993,"Diurnal","Carnivore","Forest","Not colonial",-0.459885342,400.5508162,NA,NA,7.916697,214,2.33041377334919,4.23712623769664,0,0
"Accipiter madagascariensis","Accipiter_madagascariensis","Madagascar Sparrowhawk","ACCIPITRIFORMES","NT","Not a Migrant",7.2,476594.439041015,"Diurnal","Carnivore","Forest","Not colonial",-0.579956805,1058.841989,20.65286746,43,7.908732,182,2.26007138798507,5.6781489706418,3,2
"Accipiter melanochlamys","Accipiter_melanochlamys","Black-mantled Goshawk","ACCIPITRIFORMES","LC","Not a Migrant",7.2,115449.912393151,"Diurnal","Carnivore","Forest","Not colonial",-0.486443207,56.76778778,30.34167472,54.5,7.985115,265,2.42324587393681,5.06239360769767,0,0
"Accipiter melanoleucus","Accipiter_melanoleucus","Black Goshawk","ACCIPITRIFORMES","LC","Not a Migrant",6.4,9067090.08700066,"Diurnal","Carnivore","Forest","Not colonial",-0.027349087,0,34.60927702,40.5,7.85617,699,2.84447717574568,6.9574679307286,2,2
"Accipiter meyerianus","Accipiter_meyerianus","Meyer's Goshawk","ACCIPITRIFORMES","LC","Not a Migrant",7.2,269144.479238405,"Diurnal","Carnivore","Forest","Not colonial",-0.312648158,45.19055817,30.7729913,37.33333333,7.87275,815,2.91115760873998,5.42998547588165,0,0
"Accipiter minullus","Accipiter_minullus","Little Sparrowhawk","ACCIPITRIFORMES","LC","Not a Migrant",6.7,6794428.94817154,"Diurnal","Carnivore","Forest","Not colonial",-0.03069326,0,22.15648165,62,8.278558,88.35,1.94620655384278,6.8321529614247,0,0
"Accipiter nanus","Accipiter_nanus","Small Sparrowhawk","ACCIPITRIFORMES","NT","Not a Migrant",7.2,110476.795653585,"Diurnal","Carnivore","Forest","Not colonial",-1.04490994,166.0372463,28.86463477,53,7.767425,NA,NA,5.0432710691717,0,0
"Accipiter nisus","Accipiter_nisus","Eurasian Sparrowhawk","ACCIPITRIFORMES","LC","Full Migrant",7.2,23597157.9775704,"Diurnal","Carnivore","Artificial/Terrestrial","Not colonial",-0.005004509,0,24.0882052,47.5,6.716942,237.5,2.37566361396089,7.37285970004709,24,7
"Accipiter novaehollandiae","Accipiter_novaehollandiae","Grey Goshawk","ACCIPITRIFORMES","LC","Not a Migrant",7.2,1807052.85614383,"Diurnal","Carnivore","Forest","Not colonial",1.109268882,0,32.19817879,36.5,7.005232,375.25,2.57432070091531,6.25697085582373,9,3
"Accipiter ovampensis","Accipiter_ovampensis","Ovampo Sparrowhawk","ACCIPITRIFORMES","LC","Nomadic",7.2,7295101.69989928,"Diurnal","Carnivore","Savanna","Not colonial",-0.017637405,0,23.99192645,56,7.795984,195,2.29003461136252,6.86303135070475,1,1
"Accipiter poliocephalus","Accipiter_poliocephalus","Grey-headed Goshawk","ACCIPITRIFORMES","LC","Not a Migrant",7.2,671500.4802633,"Diurnal","Carnivore","Forest","Not colonial",-0.493217716,0,25.14468826,47,8.278395,215,2.33243845991561,5.82704632761624,0,0
"Accipiter poliogaster","Accipiter_poliogaster","Gray-bellied Hawk","ACCIPITRIFORMES","NT","Full Migrant",7.2,7203468.77479575,"Diurnal","Carnivore","Forest","Not colonial",-0.029857485,0,25.14533217,38,7.909388,NA,NA,6.85754167795628,1,1
"Accipiter princeps","Accipiter_princeps","New Britain Goshawk","ACCIPITRIFORMES","VU","Not a Migrant",10,11549.6169033722,"Diurnal","Omnivore","Forest","Not colonial",-0.919770684,432.3301018,NA,NA,8.049638,NA,NA,4.06256757907571,0,0
"Accipiter rhodogaster","Accipiter_rhodogaster","Vinous-breasted Sparrowhawk","ACCIPITRIFORMES","LC","Not a Migrant",7.2,146036.847637564,"Diurnal","Carnivore","Forest","Not colonial",-1.04490994,3.200463386,27.48979023,53,7.903667,188.5,2.27531135454181,5.16446244966534,0,0
"Accipiter rufitorques","Accipiter_rufitorques","Fiji Goshawk","ACCIPITRIFORMES","LC","Not a Migrant",7.2,17581.1210773127,"Diurnal","Carnivore","Artificial/Terrestrial","Not colonial",0.543275817,1928.466571,19.04802679,55,8.148183,209,2.32014628611105,4.24504656483145,0,0
"Accipiter rufiventris","Accipiter_rufiventris","Rufous-chested Sparrowhawk","ACCIPITRIFORMES","LC","Not a Migrant",7.2,756058.257607086,"Diurnal","Carnivore","Forest","Not colonial",-0.054944511,0,25.78611704,57,5.69234,198,2.29666519026153,5.87855526108651,4,3
"Accipiter soloensis","Accipiter_soloensis","Chinese Goshawk","ACCIPITRIFORMES","LC","Full Migrant",7.2,2374780.57101989,"Diurnal","Carnivore","Shrubland","Not colonial",-0.019898314,0,25.54762191,46,10.019948,165.5,2.21879799811174,6.37562348714076,2,2
"Accipiter striatus","Accipiter_striatus","Sharp-shinned Hawk","ACCIPITRIFORMES","LC","Full Migrant",7.2,16375574.5861327,"Diurnal","Carnivore","Shrubland","Not colonial",0.012257664,0,25.80880258,58.5,6.096948,135.725,2.13265985032772,7.2141965474552,15,6
