order,family_name,family,common_name,birdlife,type,scientific_name
PASSERIFORMES,Vireonidae,Vireos,Pied Shrike-babbler,Pteruthius flaviscapis,scientific_name,Pteruthius flaviscapis
PASSERIFORMES,Vireonidae,Vireos,Black-eared Shrike-babbler,Pteruthius melanotis,scientific_name,Pteruthius melanotis
PASSERIFORMES,Vireonidae,Vireos,Black-headed Shrike-babbler,Pteruthius rufiventer,scientific_name,Pteruthius rufiventer
PASSERIFORMES,Vireonidae,Vireos,Green Shrike-babbler,Pteruthius xanthochlorus,scientific_name,Pteruthius xanthochlorus
PASSERIFORMES,Ptiliogonatidae,Silky-flycatchers,Long-tailed Silky-flycatcher,Ptiliogonys caudatus,scientific_name,Ptiliogonys caudatus
PASSERIFORMES,Ptiliogonatidae,Silky-flycatchers,Long-tailed Silky-flycatcher,Ptiliogonys caudatus,synonym_1,Ptilogonys caudatus
PASSERIFORMES,Ptiliogonatidae,Silky-flycatchers,Grey Silky-flycatcher,Ptiliogonys cinereus,scientific_name,Ptiliogonys cinereus
PASSERIFORMES,Ptiliogonatidae,Silky-flycatchers,Grey Silky-flycatcher,Ptiliogonys cinereus,synonym_1,Ptilogonys cinereus
PASSERIFORMES,Pellorneidae,Ground babblers,Falcated Wren-babbler,Ptilocichla falcata,scientific_name,Ptilocichla falcata
PASSERIFORMES,Pellorneidae,Ground babblers,Bornean Wren-babbler,Ptilocichla leucogrammica,scientific_name,Ptilocichla leucogrammica
PASSERIFORMES,Pellorneidae,Ground babblers,Striated Wren-babbler,Ptilocichla mindanensis,scientific_name,Ptilocichla mindanensis
PASSERIFORMES,Ptilonorhynchidae,Bowerbirds,Satin Bowerbird,Ptilonorhynchus violaceus,scientific_name,Ptilonorhynchus violaceus
PASSERIFORMES,Meliphagidae,Honeyeaters,Rufous-sided Honeyeater,Ptiloprora erythropleura,scientific_name,Ptiloprora erythropleura
PASSERIFORMES,Meliphagidae,Honeyeaters,Rufous-backed Honeyeater,Ptiloprora guisei,scientific_name,Ptiloprora guisei
PASSERIFORMES,Meliphagidae,Honeyeaters,Mayr's Honeyeater,Ptiloprora mayri,scientific_name,Ptiloprora mayri
PASSERIFORMES,Meliphagidae,Honeyeaters,Yellowish-streaked Honeyeater,Ptiloprora meekiana,scientific_name,Ptiloprora meekiana
PASSERIFORMES,Meliphagidae,Honeyeaters,Grey-streaked Honeyeater,Ptiloprora perstriata,scientific_name,Ptiloprora perstriata
PASSERIFORMES,Meliphagidae,Honeyeaters,Leaden Honeyeater,Ptiloprora plumbea,scientific_name,Ptiloprora plumbea
PASSERIFORMES,Cinclosomatidae,Quail-thrushes and jewel-babblers,Blue Jewel-babbler,Ptilorrhoa caerulescens,scientific_name,Ptilorrhoa caerulescens
PASSERIFORMES,Cinclosomatidae,Quail-thrushes and jewel-babblers,Chestnut-backed Jewel-babbler,Ptilorrhoa castanonota,scientific_name,Ptilorrhoa castanonota
PASSERIFORMES,Cinclosomatidae,Quail-thrushes and jewel-babblers,Dimorphic Jewel-babbler,Ptilorrhoa geislerorum,scientific_name,Ptilorrhoa geislerorum
PASSERIFORMES,Cinclosomatidae,Quail-thrushes and jewel-babblers,Spotted Jewel-babbler,Ptilorrhoa leucosticta,scientific_name,Ptilorrhoa leucosticta
PASSERIFORMES,Corvidae,Crows and jays,Piapiac,Ptilostomus afer,scientific_name,Ptilostomus afer
PASSERIFORMES,Meliphagidae,Honeyeaters,Yellow-tinted Honeyeater,Ptilotula flavescens,scientific_name,Ptilotula flavescens
PASSERIFORMES,Meliphagidae,Honeyeaters,Yellow-tinted Honeyeater,Ptilotula flavescens,synonym_1,Lichenostomus flavescens
PASSERIFORMES,Meliphagidae,Honeyeaters,Fuscous Honeyeater,Ptilotula fusca,scientific_name,Ptilotula fusca
PASSERIFORMES,Meliphagidae,Honeyeaters,Fuscous Honeyeater,Ptilotula fusca,synonym_1,Lichenostomus fuscus
PASSERIFORMES,Meliphagidae,Honeyeaters,Grey-headed Honeyeater,Ptilotula keartlandi,scientific_name,Ptilotula keartlandi
PASSERIFORMES,Meliphagidae,Honeyeaters,Grey-headed Honeyeater,Ptilotula keartlandi,synonym_1,Lichenostomus keartlandi
PASSERIFORMES,Meliphagidae,Honeyeaters,Yellow-plumed Honeyeater,Ptilotula ornata,scientific_name,Ptilotula ornata
PASSERIFORMES,Meliphagidae,Honeyeaters,Yellow-plumed Honeyeater,Ptilotula ornata,synonym_1,Lichenostomus ornatus
PASSERIFORMES,Meliphagidae,Honeyeaters,White-plumed Honeyeater,Ptilotula penicillata,scientific_name,Ptilotula penicillata
PASSERIFORMES,Meliphagidae,Honeyeaters,White-plumed Honeyeater,Ptilotula penicillata,synonym_1,Lichenostomus penicillatus
PASSERIFORMES,Meliphagidae,Honeyeaters,Grey-fronted Honeyeater,Ptilotula plumula,scientific_name,Ptilotula plumula
PASSERIFORMES,Meliphagidae,Honeyeaters,Grey-fronted Honeyeater,Ptilotula plumula,synonym_1,Lichenostomus plumulus
PASSERIFORMES,Icteridae,New World blackbirds,Cuban Blackbird,Ptiloxena atroviolacea,scientific_name,Ptiloxena atroviolacea
PASSERIFORMES,Icteridae,New World blackbirds,Cuban Blackbird,Ptiloxena atroviolacea,synonym_1,Dives atroviolacea
PASSERIFORMES,Icteridae,New World blackbirds,Cuban Blackbird,Ptiloxena atroviolacea,synonym_2,Dives atroviolaceus
PASSERIFORMES,Hirundinidae,Swallows and martins,Dusky Crag Martin,Ptyonoprogne concolor,scientific_name,Ptyonoprogne concolor
PASSERIFORMES,Hirundinidae,Swallows and martins,Dusky Crag Martin,Ptyonoprogne concolor,synonym_1,Hirundo concolor
PASSERIFORMES,Hirundinidae,Swallows and martins,Large Rock Martin,Ptyonoprogne fuligula,scientific_name,Ptyonoprogne fuligula
PASSERIFORMES,Hirundinidae,Swallows and martins,Large Rock Martin,Ptyonoprogne fuligula,synonym_1,Hirundo fuligula
PASSERIFORMES,Hirundinidae,Swallows and martins,Pale Rock Martin,Ptyonoprogne obsoleta,scientific_name,Ptyonoprogne obsoleta
